effect,group,term,estimate,std.error,statistic,p.value
ran_pars,item_id,sd__(Intercept),0.583978959,NA,NA,NA
fixed,NA,(Intercept),0.112574381,0.145752356,0.772367487,0.439896805
fixed,NA,X_1,0.333257334,0.154507151,2.156905562,0.031013024
fixed,NA,X_2,-0.90975232,0.214254346,-4.246132393,2.17E-05
ran_pars,subj_id,sd__(Intercept),1.015889455,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_1,-0.023588599,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_2,0.049746047,NA,NA,NA
ran_pars,subj_id,sd__X_1,0.32218501,NA,NA,NA
ran_pars,subj_id,cor__X_1.X_2,-0.284560875,NA,NA,NA
ran_pars,subj_id,sd__X_2,1.509350657,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.54133707,NA,NA,NA
fixed,NA,(Intercept),0.111198293,0.149014705,0.746223621,0.455532341
fixed,NA,X_1,0.455716798,0.160942782,2.831545421,0.004632365
fixed,NA,X_2,-0.799918334,0.197069884,-4.059059249,4.93E-05
ran_pars,subj_id,sd__(Intercept),1.042325323,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_1,-0.012417925,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_2,0.250827163,NA,NA,NA
ran_pars,subj_id,sd__X_1,0.460746774,NA,NA,NA
ran_pars,subj_id,cor__X_1.X_2,-0.30435842,NA,NA,NA
ran_pars,subj_id,sd__X_2,1.210166626,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.552901788,NA,NA,NA
fixed,NA,(Intercept),-0.041915098,0.123999666,-0.338025896,0.735343673
fixed,NA,X_1,0.540928078,0.12879111,4.200042065,2.67E-05
fixed,NA,X_2,-0.472218986,0.196531762,-2.402761677,0.016271788
ran_pars,subj_id,sd__(Intercept),0.92913114,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_1,0.114213309,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_2,0.108205772,NA,NA,NA
ran_pars,subj_id,sd__X_1,0.472995137,NA,NA,NA
ran_pars,subj_id,cor__X_1.X_2,-0.376597367,NA,NA,NA
ran_pars,subj_id,sd__X_2,1.54756147,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.409114218,NA,NA,NA
